ytid,start_time,name,level_1,lebel_2,level_3,level_4
-70tewjjQKc_000030.mp4,30,Accordion,3,5,8,0
#NAME?,60,Accordion,3,5,8,0
#NAME?,280,Accordion,3,5,8,0
05p8zKBzdPU_000140.mp4,140,Accordion,3,5,8,0
09o2OwlUCGI_000200.mp4,200,Accordion,3,5,8,0
0OtOrR70M1A_000030.mp4,30,Accordion,3,5,8,0
0jInA3DyU5g_000050.mp4,50,Accordion,3,5,8,0
0yyodmE6cGg_000463.mp4,463,Accordion,3,5,8,0
1049Y7NnN5E_000216.mp4,216,Accordion,3,5,8,0
10nfmb-jLPk_000026.mp4,26,Accordion,3,5,8,0
1DUjfw2-hzE_000007.mp4,7,Accordion,3,5,8,0
1PgwxYCi-qE_000220.mp4,220,Accordion,3,5,8,0
1oH-wBFq1W4_000020.mp4,20,Accordion,3,5,8,0
2bCuw7U_Rac_000390.mp4,390,Accordion,3,5,8,0
2cHS2U1XWJM_000055.mp4,55,Accordion,3,5,8,0
3-PFuDkTM48_000080.mp4,80,Accordion,3,5,8,0
307u3kydO_w_000030.mp4,30,Accordion,3,5,8,0
3G5jnxpYvuk_000510.mp4,510,Accordion,3,5,8,0
3HcMrWWN9LE_000211.mp4,211,Accordion,3,5,8,0
3T78h81cfjc_000030.mp4,30,Accordion,3,5,8,0
3TgynDX3F24_000030.mp4,30,Accordion,3,5,8,0
3YbDIoaSToo_000290.mp4,290,Accordion,3,5,8,0
44Nt8WOHyyU_000040.mp4,40,Accordion,3,5,8,0
4GfRuU0co_s_000030.mp4,30,Accordion,3,5,8,0
5O8BDxtMyJA_000030.mp4,30,Accordion,3,5,8,0
6oqc5k2uwNk_000030.mp4,30,Accordion,3,5,8,0
7O7kTGlmo7E_000080.mp4,80,Accordion,3,5,8,0
8fIq-Mteepc_000030.mp4,30,Accordion,3,5,8,0
8j3Gmke2040_000554.mp4,554,Accordion,3,5,8,0
9QHY2eTQqww_000090.mp4,90,Accordion,3,5,8,0
A08MfFxzmxo_000030.mp4,30,Accordion,3,5,8,0
A8hEBkNuKcM_000324.mp4,324,Accordion,3,5,8,0
Axz8Dz5_ygc_000030.mp4,30,Accordion,3,5,8,0
BTsQEhsfOWs_000030.mp4,30,Accordion,3,5,8,0
BXdLkM8ed2c_000112.mp4,112,Accordion,3,5,8,0
BZjyf7g4vz0_000128.mp4,128,Accordion,3,5,8,0
Balb3YXhZrs_000030.mp4,30,Accordion,3,5,8,0
BuVMWXBcwA4_000040.mp4,40,Accordion,3,5,8,0
C9UCiveGAeE_000030.mp4,30,Accordion,3,5,8,0
CTtc7R99ur8_000030.mp4,30,Accordion,3,5,8,0
DOi9a2IS0ws_000040.mp4,40,Accordion,3,5,8,0
DQWw45SlINk_000030.mp4,30,Accordion,3,5,8,0
DdtwJHSw8SQ_000200.mp4,200,Accordion,3,5,8,0
DfPvol1rT8c_000110.mp4,110,Accordion,3,5,8,0
E_tszb8OdZs_000100.mp4,100,Accordion,3,5,8,0
EjhkEqapObA_000117.mp4,117,Accordion,3,5,8,0
Ek3p7JVcGR0_000180.mp4,180,Accordion,3,5,8,0
FVOHV7IjwLg_000072.mp4,72,Accordion,3,5,8,0
FVZr5OXn_hg_000060.mp4,60,Accordion,3,5,8,0
GG4YZfdlUhg_000000.mp4,0,Accordion,3,5,8,0
Gf_HkF_20io_000030.mp4,30,Accordion,3,5,8,0
GfxBey7p-CA_000090.mp4,90,Accordion,3,5,8,0
Gh8FpV8lsb4_000260.mp4,260,Accordion,3,5,8,0
H0o1tJY1yr4_000080.mp4,80,Accordion,3,5,8,0
I5YN1h1UFSM_000200.mp4,200,Accordion,3,5,8,0
IXC6NHXltx0_000225.mp4,225,Accordion,3,5,8,0
JDGPe8zAN04_000024.mp4,24,Accordion,3,5,8,0
JLPpMZlBOEI_000038.mp4,38,Accordion,3,5,8,0
JYDD07wZQjQ_000030.mp4,30,Accordion,3,5,8,0
Jbu2Gos1__Q_000040.mp4,40,Accordion,3,5,8,0
JfnGBswrXWw_000190.mp4,190,Accordion,3,5,8,0
K7JZR_5QUjU_000100.mp4,100,Accordion,3,5,8,0
L8Jov9qZMw0_000160.mp4,160,Accordion,3,5,8,0
LF1t9KbTNeA_000022.mp4,22,Accordion,3,5,8,0
LHKj6nK0Pa8_000030.mp4,30,Accordion,3,5,8,0
LNRC5gZVz1s_000000.mp4,0,Accordion,3,5,8,0
LbotTJO5WXk_000030.mp4,30,Accordion,3,5,8,0
Lhi2ULgR2Fk_000094.mp4,94,Accordion,3,5,8,0
M18TbLVTgu0_000030.mp4,30,Accordion,3,5,8,0
MBlWK7fmXhM_000060.mp4,60,Accordion,3,5,8,0
MHds4ABGy_I_000115.mp4,115,Accordion,3,5,8,0
Ma3uMqWfE_8_000000.mp4,0,Accordion,3,5,8,0
MtUVDOIEd-w_000360.mp4,360,Accordion,3,5,8,0
MtyT5jXRyKI_000163.mp4,163,Accordion,3,5,8,0
NWQo66prAHg_000030.mp4,30,Accordion,3,5,8,0
NXfrA7P_4jo_000030.mp4,30,Accordion,3,5,8,0
NjSdkG-k5lA_000030.mp4,30,Accordion,3,5,8,0
O84Wf-Z3sgs_000080.mp4,80,Accordion,3,5,8,0
ONt6EiFan_A_000010.mp4,10,Accordion,3,5,8,0
OfZ2xr-LY6I_000151.mp4,151,Accordion,3,5,8,0
Ow1Rncezmm4_000030.mp4,30,Accordion,3,5,8,0
P_bO3pB7Hl0_000010.mp4,10,Accordion,3,5,8,0
Pgw5p6gLKWQ_000070.mp4,70,Accordion,3,5,8,0
QIHQVxCLGPo_000030.mp4,30,Accordion,3,5,8,0
SQjt8CMaIBs_000030.mp4,30,Accordion,3,5,8,0
Su5BitXzJkg_000529.mp4,529,Accordion,3,5,8,0
U-e9ttDnI9U_000120.mp4,120,Accordion,3,5,8,0
UPWojLzefmY_000030.mp4,30,Accordion,3,5,8,0
V16HOxmLe3k_000136.mp4,136,Accordion,3,5,8,0
V8OL1ACddDw_000030.mp4,30,Accordion,3,5,8,0
VOnP9N7FAT8_000088.mp4,88,Accordion,3,5,8,0
VYvIP22IAks_000030.mp4,30,Accordion,3,5,8,0
